OBJECTID,break_date,pipe_size,pipe_depth_ft,soil_type,repair_time_minutes
139,2008/03/30 00:00:00+00,8,5.5,Clay,210
143,2008/03/31 00:00:00+00,6,6.63,"Rock, clay",150
144,2008/04/08 00:00:00+00,6,5.5,"Clay, rocks",420
145,2008/04/11 00:00:00+00,6,6.17,"Clay, rock",1200
146,2008/04/15 00:00:00+00,6,5.75,"Sand, rock",180
147,2008/04/19 00:00:00+00,12,5.17,"Sand, rock",180
148,2008/04/18 00:00:00+00,6,5.5,Clay,870
149,2008/04/28 00:00:00+00,6,7,Rock,150
150,1970/01/01 00:00:00+00,NA,NA,NA,NA
151,1970/01/01 00:00:00+00,NA,NA,NA,NA
152,1970/01/01 00:00:00+00,NA,NA,NA,NA
153,1970/01/01 00:00:00+00,NA,NA,NA,NA
154,1970/01/01 00:00:00+00,NA,NA,NA,NA
155,1970/01/01 00:00:00+00,NA,NA,NA,NA
156,1970/01/01 00:00:00+00,NA,NA,NA,NA
158,1970/01/01 00:00:00+00,NA,NA,NA,NA
159,1970/01/01 00:00:00+00,NA,NA,NA,NA
160,1970/01/01 00:00:00+00,NA,NA,NA,NA
161,1970/01/01 00:00:00+00,NA,NA,NA,NA
164,1970/01/01 00:00:00+00,NA,NA,NA,NA
165,1970/01/01 00:00:00+00,NA,NA,NA,NA
166,1970/01/01 00:00:00+00,NA,NA,NA,NA
167,1970/01/01 00:00:00+00,NA,NA,NA,NA
168,1970/01/01 00:00:00+00,NA,NA,NA,NA
169,1970/01/01 00:00:00+00,NA,NA,NA,NA
170,1970/01/01 00:00:00+00,NA,NA,NA,NA
171,1970/01/01 00:00:00+00,NA,NA,NA,NA
172,1970/01/01 00:00:00+00,NA,NA,NA,NA
173,1970/01/01 00:00:00+00,NA,NA,NA,NA
174,1970/01/01 00:00:00+00,NA,NA,NA,NA
175,1970/01/01 00:00:00+00,NA,NA,NA,NA
176,1970/01/01 00:00:00+00,NA,NA,NA,NA
177,1970/01/01 00:00:00+00,NA,NA,NA,NA
178,1970/01/01 00:00:00+00,NA,NA,NA,NA
179,1970/01/01 00:00:00+00,NA,NA,NA,NA
180,1970/01/01 00:00:00+00,NA,NA,NA,NA
181,1970/01/01 00:00:00+00,NA,NA,NA,NA
182,1970/01/01 00:00:00+00,NA,NA,NA,NA
183,1970/01/01 00:00:00+00,NA,NA,NA,NA
184,1970/01/01 00:00:00+00,NA,NA,NA,NA
185,1970/01/01 00:00:00+00,NA,NA,NA,NA
186,1970/01/01 00:00:00+00,NA,NA,NA,NA
187,1970/01/01 00:00:00+00,NA,NA,NA,NA
188,1970/01/01 00:00:00+00,NA,NA,NA,NA
189,1970/01/01 00:00:00+00,NA,NA,NA,NA
191,1970/01/01 00:00:00+00,NA,NA,NA,NA
192,1970/01/01 00:00:00+00,NA,NA,NA,NA
193,1970/01/01 00:00:00+00,NA,NA,NA,NA
194,1970/01/01 00:00:00+00,NA,NA,NA,NA
195,1970/01/01 00:00:00+00,NA,NA,NA,NA
196,1970/01/01 00:00:00+00,NA,NA,NA,NA
197,1970/01/01 00:00:00+00,NA,NA,NA,NA
