OBJECTID,break_date,pipe_size,pipe_depth_ft,soil_type,repair_time_minutes
1862,1970/01/01 00:00:00+00,NA,NA,NA,NA
1863,1970/01/01 00:00:00+00,NA,NA,NA,NA
1864,1970/01/01 00:00:00+00,NA,NA,NA,NA
1865,1970/01/01 00:00:00+00,NA,NA,NA,NA
1866,1970/01/01 00:00:00+00,NA,NA,NA,NA
1867,1970/01/01 00:00:00+00,NA,NA,NA,NA
1868,1970/01/01 00:00:00+00,NA,NA,NA,NA
1869,1970/01/01 00:00:00+00,NA,NA,NA,NA
1870,1970/01/01 00:00:00+00,NA,NA,NA,NA
1871,1970/01/01 00:00:00+00,NA,NA,NA,NA
1872,1970/01/01 00:00:00+00,NA,NA,NA,NA
1873,1970/01/01 00:00:00+00,NA,NA,NA,NA
1874,1970/01/01 00:00:00+00,NA,NA,NA,NA
1875,1970/01/01 00:00:00+00,NA,NA,NA,NA
1876,1970/01/01 00:00:00+00,NA,NA,NA,NA
1878,1970/01/01 00:00:00+00,NA,NA,NA,NA
1879,1970/01/01 00:00:00+00,NA,NA,NA,NA
1880,1970/01/01 00:00:00+00,NA,NA,NA,NA
1881,1970/01/01 00:00:00+00,NA,NA,NA,NA
1882,1970/01/01 00:00:00+00,NA,NA,NA,NA
1883,1970/01/01 00:00:00+00,NA,NA,NA,NA
1884,1970/01/01 00:00:00+00,NA,NA,NA,NA
1886,1970/01/01 00:00:00+00,NA,NA,NA,NA
1889,1970/01/01 00:00:00+00,NA,NA,NA,NA
1890,1970/01/01 00:00:00+00,NA,NA,NA,NA
1891,1970/01/01 00:00:00+00,NA,NA,NA,NA
1892,1970/01/01 00:00:00+00,NA,NA,NA,NA
1893,1970/01/01 00:00:00+00,NA,NA,NA,NA
1894,1970/01/01 00:00:00+00,NA,NA,NA,NA
1895,1970/01/01 00:00:00+00,NA,NA,NA,NA
1896,1970/01/01 00:00:00+00,NA,NA,NA,NA
1897,1970/01/01 00:00:00+00,NA,NA,NA,NA
1898,1970/01/01 00:00:00+00,NA,NA,NA,NA
1899,1970/01/01 00:00:00+00,NA,NA,NA,NA
1900,1970/01/01 00:00:00+00,NA,NA,NA,NA
1901,1970/01/01 00:00:00+00,NA,NA,NA,NA
1902,1970/01/01 00:00:00+00,NA,NA,NA,NA
1903,1970/01/01 00:00:00+00,NA,NA,NA,NA
1904,1970/01/01 00:00:00+00,NA,NA,NA,NA
1905,1970/01/01 00:00:00+00,NA,NA,NA,NA
1906,1970/01/01 00:00:00+00,NA,NA,NA,NA
1907,1970/01/01 00:00:00+00,NA,NA,NA,NA
1908,1970/01/01 00:00:00+00,NA,NA,NA,NA
1909,1970/01/01 00:00:00+00,NA,NA,NA,NA
1910,1970/01/01 00:00:00+00,NA,NA,NA,NA
1911,1970/01/01 00:00:00+00,NA,NA,NA,NA
1912,1970/01/01 00:00:00+00,NA,NA,NA,NA
1913,1970/01/01 00:00:00+00,NA,NA,NA,NA
1914,1970/01/01 00:00:00+00,NA,NA,NA,NA
1915,1970/01/01 00:00:00+00,NA,NA,NA,NA
1916,1970/01/01 00:00:00+00,NA,NA,NA,NA
1917,1970/01/01 00:00:00+00,NA,NA,NA,NA
1918,1970/01/01 00:00:00+00,NA,NA,NA,NA
1919,1970/01/01 00:00:00+00,NA,NA,NA,NA
1920,1970/01/01 00:00:00+00,NA,NA,NA,NA
1921,1970/01/01 00:00:00+00,NA,NA,NA,NA
1922,1970/01/01 00:00:00+00,NA,NA,NA,NA
1923,1970/01/01 00:00:00+00,NA,NA,NA,NA
1924,1970/01/01 00:00:00+00,NA,NA,NA,NA
1925,1970/01/01 00:00:00+00,NA,NA,NA,NA
1926,1970/01/01 00:00:00+00,NA,NA,NA,NA
1927,1970/01/01 00:00:00+00,NA,NA,NA,NA
1928,1970/01/01 00:00:00+00,NA,NA,NA,NA
1929,1970/01/01 00:00:00+00,NA,NA,NA,NA
1930,1970/01/01 00:00:00+00,NA,NA,NA,NA
1931,1970/01/01 00:00:00+00,NA,NA,NA,NA
1932,1970/01/01 00:00:00+00,NA,NA,NA,NA
1937,1970/01/01 00:00:00+00,NA,NA,NA,NA
1938,1970/01/01 00:00:00+00,NA,NA,NA,NA
1942,1970/01/01 00:00:00+00,NA,NA,NA,NA
1944,1970/01/01 00:00:00+00,NA,NA,NA,NA
1945,1970/01/01 00:00:00+00,NA,NA,NA,NA
1946,1970/01/01 00:00:00+00,NA,NA,NA,NA
1947,1970/01/01 00:00:00+00,NA,NA,NA,NA
1948,1970/01/01 00:00:00+00,NA,NA,NA,NA
1949,1970/01/01 00:00:00+00,NA,NA,NA,NA
1950,1970/01/01 00:00:00+00,NA,NA,NA,NA
1961,1970/01/01 00:00:00+00,NA,NA,NA,NA
1962,1970/01/01 00:00:00+00,NA,NA,NA,NA
1984,1970/01/01 00:00:00+00,NA,NA,NA,NA
1985,1970/01/01 00:00:00+00,NA,NA,NA,NA
1994,1970/01/01 00:00:00+00,NA,NA,NA,NA
1995,1970/01/01 00:00:00+00,NA,NA,NA,NA
1996,1970/01/01 00:00:00+00,NA,NA,NA,NA
1997,1970/01/01 00:00:00+00,NA,NA,NA,NA
1998,1970/01/01 00:00:00+00,NA,NA,NA,NA
1999,1970/01/01 00:00:00+00,NA,NA,NA,NA
2000,1970/01/01 00:00:00+00,NA,NA,NA,NA
2001,1970/01/01 00:00:00+00,NA,NA,NA,NA
2002,1970/01/01 00:00:00+00,NA,NA,NA,NA
2003,1970/01/01 00:00:00+00,NA,NA,NA,NA
2004,1970/01/01 00:00:00+00,NA,NA,NA,NA
2005,1970/01/01 00:00:00+00,NA,NA,NA,NA
2008,1970/01/01 00:00:00+00,NA,NA,NA,NA
2009,1970/01/01 00:00:00+00,NA,NA,NA,NA
2010,1970/01/01 00:00:00+00,NA,NA,NA,NA
2011,1970/01/01 00:00:00+00,NA,NA,NA,NA
2012,1970/01/01 00:00:00+00,NA,NA,NA,NA
2013,1970/01/01 00:00:00+00,NA,NA,NA,NA
2014,1970/01/01 00:00:00+00,NA,NA,NA,NA
2015,1970/01/01 00:00:00+00,NA,NA,NA,NA
2016,1970/01/01 00:00:00+00,NA,NA,NA,NA
2017,1970/01/01 00:00:00+00,NA,NA,NA,NA
2018,1970/01/01 00:00:00+00,NA,NA,NA,NA
2019,1970/01/01 00:00:00+00,NA,NA,NA,NA
2020,1970/01/01 00:00:00+00,NA,NA,NA,NA
2021,1970/01/01 00:00:00+00,NA,NA,NA,NA
2022,1970/01/01 00:00:00+00,NA,NA,NA,NA
2023,1970/01/01 00:00:00+00,NA,NA,NA,NA
2024,1970/01/01 00:00:00+00,NA,NA,NA,NA
2025,1970/01/01 00:00:00+00,NA,NA,NA,NA
2026,1970/01/01 00:00:00+00,NA,NA,NA,NA
2027,1970/01/01 00:00:00+00,NA,NA,NA,NA
2028,1970/01/01 00:00:00+00,NA,NA,NA,NA
2029,1970/01/01 00:00:00+00,NA,NA,NA,NA
2030,1970/01/01 00:00:00+00,NA,NA,NA,NA
2031,1970/01/01 00:00:00+00,NA,NA,NA,NA
2032,1970/01/01 00:00:00+00,NA,NA,NA,NA
2033,1970/01/01 00:00:00+00,NA,NA,NA,NA
2034,1970/01/01 00:00:00+00,NA,NA,NA,NA
2035,1970/01/01 00:00:00+00,NA,NA,NA,NA
2036,1970/01/01 00:00:00+00,NA,NA,NA,NA
2037,1970/01/01 00:00:00+00,NA,NA,NA,NA
2038,1970/01/01 00:00:00+00,NA,NA,NA,NA
2039,1970/01/01 00:00:00+00,NA,NA,NA,NA
2040,1970/01/01 00:00:00+00,NA,NA,NA,NA
2041,1970/01/01 00:00:00+00,NA,NA,NA,NA
2042,1970/01/01 00:00:00+00,NA,NA,NA,NA
2043,1970/01/01 00:00:00+00,NA,NA,NA,NA
2044,1970/01/01 00:00:00+00,NA,NA,NA,NA
2045,1970/01/01 00:00:00+00,NA,NA,NA,NA
2046,1970/01/01 00:00:00+00,NA,NA,NA,NA
2047,1970/01/01 00:00:00+00,NA,NA,NA,NA
2048,1970/01/01 00:00:00+00,NA,NA,NA,NA
2049,1970/01/01 00:00:00+00,NA,NA,NA,NA
2050,1970/01/01 00:00:00+00,NA,NA,NA,NA
2051,1970/01/01 00:00:00+00,NA,NA,NA,NA
2052,1970/01/01 00:00:00+00,NA,NA,NA,NA
2053,1970/01/01 00:00:00+00,NA,NA,NA,NA
2054,1970/01/01 00:00:00+00,NA,NA,NA,NA
2055,1970/01/01 00:00:00+00,NA,NA,NA,NA
2056,1970/01/01 00:00:00+00,NA,NA,NA,NA
2057,1970/01/01 00:00:00+00,NA,NA,NA,NA
2058,1970/01/01 00:00:00+00,NA,NA,NA,NA
2060,1970/01/01 00:00:00+00,NA,NA,NA,NA
2061,1970/01/01 00:00:00+00,NA,NA,NA,NA
2062,1970/01/01 00:00:00+00,NA,NA,NA,NA
2063,1970/01/01 00:00:00+00,NA,NA,NA,NA
2064,1970/01/01 00:00:00+00,NA,NA,NA,NA
2065,1970/01/01 00:00:00+00,NA,NA,NA,NA
2066,1970/01/01 00:00:00+00,NA,NA,NA,NA
2067,1970/01/01 00:00:00+00,NA,NA,NA,NA
2068,1970/01/01 00:00:00+00,NA,NA,NA,NA
2069,1970/01/01 00:00:00+00,NA,NA,NA,NA
2070,1970/01/01 00:00:00+00,NA,NA,NA,NA
2071,1970/01/01 00:00:00+00,NA,NA,NA,NA
2072,1970/01/01 00:00:00+00,NA,NA,NA,NA
2073,1970/01/01 00:00:00+00,NA,NA,NA,NA
2074,1970/01/01 00:00:00+00,NA,NA,NA,NA
2075,1970/01/01 00:00:00+00,NA,NA,NA,NA
2076,1970/01/01 00:00:00+00,NA,NA,NA,NA
2077,1970/01/01 00:00:00+00,NA,NA,NA,NA
2078,1970/01/01 00:00:00+00,NA,NA,NA,NA
2079,1970/01/01 00:00:00+00,NA,NA,NA,NA
2080,1970/01/01 00:00:00+00,NA,NA,NA,NA
2081,1970/01/01 00:00:00+00,NA,NA,NA,NA
2085,1970/01/01 00:00:00+00,NA,NA,NA,NA
2086,1970/01/01 00:00:00+00,NA,NA,NA,NA
2087,1970/01/01 00:00:00+00,NA,NA,NA,NA
2088,1970/01/01 00:00:00+00,NA,NA,NA,NA
2089,1970/01/01 00:00:00+00,NA,NA,NA,NA
2090,1970/01/01 00:00:00+00,NA,NA,NA,NA
2092,1970/01/01 00:00:00+00,NA,NA,NA,NA
2093,1970/01/01 00:00:00+00,NA,NA,NA,NA
2094,1970/01/01 00:00:00+00,NA,NA,NA,NA
2095,1970/01/01 00:00:00+00,NA,NA,NA,NA
2096,1970/01/01 00:00:00+00,NA,NA,NA,NA
2097,1970/01/01 00:00:00+00,NA,NA,NA,NA
2098,1970/01/01 00:00:00+00,NA,NA,NA,NA
2099,1970/01/01 00:00:00+00,NA,NA,NA,NA
2100,1970/01/01 00:00:00+00,NA,NA,NA,NA
2101,1970/01/01 00:00:00+00,NA,NA,NA,NA
2104,1970/01/01 00:00:00+00,NA,NA,NA,NA
2105,1970/01/01 00:00:00+00,NA,NA,NA,NA
2106,1970/01/01 00:00:00+00,NA,NA,NA,NA
2109,1970/01/01 00:00:00+00,NA,NA,NA,NA
2110,1970/01/01 00:00:00+00,NA,NA,NA,NA
2111,1970/01/01 00:00:00+00,NA,NA,NA,NA
2112,1970/01/01 00:00:00+00,NA,NA,NA,NA
2114,1970/01/01 00:00:00+00,NA,NA,NA,NA
2115,1970/01/01 00:00:00+00,NA,NA,NA,NA
2121,1970/01/01 00:00:00+00,NA,NA,NA,NA
2122,1970/01/01 00:00:00+00,NA,NA,NA,NA
2125,1970/01/01 00:00:00+00,NA,NA,NA,NA
2126,1970/01/01 00:00:00+00,NA,NA,NA,NA
2128,1970/01/01 00:00:00+00,NA,NA,NA,NA
2129,1970/01/01 00:00:00+00,NA,NA,NA,NA
2130,1970/01/01 00:00:00+00,NA,NA,NA,NA
2131,1970/01/01 00:00:00+00,NA,NA,NA,NA
2132,1970/01/01 00:00:00+00,NA,NA,NA,NA
2133,1970/01/01 00:00:00+00,NA,NA,NA,NA
2134,1970/01/01 00:00:00+00,NA,NA,NA,NA
2135,1970/01/01 00:00:00+00,NA,NA,NA,NA
2136,1970/01/01 00:00:00+00,NA,NA,NA,NA
2137,1970/01/01 00:00:00+00,NA,NA,NA,NA
2138,1970/01/01 00:00:00+00,NA,NA,NA,NA
2140,1970/01/01 00:00:00+00,NA,NA,NA,NA
2141,1970/01/01 00:00:00+00,NA,NA,NA,NA
2142,1970/01/01 00:00:00+00,NA,NA,NA,NA
2144,1970/01/01 00:00:00+00,NA,NA,NA,NA
2145,1970/01/01 00:00:00+00,NA,NA,NA,NA
2146,1970/01/01 00:00:00+00,NA,NA,NA,NA
2147,1970/01/01 00:00:00+00,NA,NA,NA,NA
2148,1970/01/01 00:00:00+00,NA,NA,NA,NA
2149,1970/01/01 00:00:00+00,NA,NA,NA,NA
2150,1970/01/01 00:00:00+00,NA,NA,NA,NA
2151,1970/01/01 00:00:00+00,NA,NA,NA,NA
2152,1970/01/01 00:00:00+00,NA,NA,NA,NA
2153,1970/01/01 00:00:00+00,NA,NA,NA,NA
2154,1970/01/01 00:00:00+00,NA,NA,NA,NA
2155,1970/01/01 00:00:00+00,NA,NA,NA,NA
2157,1970/01/01 00:00:00+00,NA,NA,NA,NA
2158,1970/01/01 00:00:00+00,NA,NA,NA,NA
2159,1970/01/01 00:00:00+00,NA,NA,NA,NA
2160,1970/01/01 00:00:00+00,NA,NA,NA,NA
2161,1970/01/01 00:00:00+00,NA,NA,NA,NA
2162,1970/01/01 00:00:00+00,NA,NA,NA,NA
2163,1970/01/01 00:00:00+00,NA,NA,NA,NA
2164,1970/01/01 00:00:00+00,NA,NA,NA,NA
2165,1970/01/01 00:00:00+00,NA,NA,NA,NA
2166,1970/01/01 00:00:00+00,NA,NA,NA,NA
2167,1970/01/01 00:00:00+00,NA,NA,NA,NA
2168,1970/01/01 00:00:00+00,NA,NA,NA,NA
2169,1970/01/01 00:00:00+00,NA,NA,NA,NA
2170,1970/01/01 00:00:00+00,NA,NA,NA,NA
2172,1970/01/01 00:00:00+00,NA,NA,NA,NA
2175,1970/01/01 00:00:00+00,NA,NA,NA,NA
2176,1970/01/01 00:00:00+00,NA,NA,NA,NA
2177,1970/01/01 00:00:00+00,NA,NA,NA,NA
2178,1970/01/01 00:00:00+00,NA,NA,NA,NA
2179,1970/01/01 00:00:00+00,NA,NA,NA,NA
2180,1970/01/01 00:00:00+00,NA,NA,NA,NA
2182,1970/01/01 00:00:00+00,NA,NA,NA,NA
2183,1970/01/01 00:00:00+00,NA,NA,NA,NA
2184,1970/01/01 00:00:00+00,NA,NA,NA,NA
2185,1970/01/01 00:00:00+00,NA,NA,NA,NA
2186,1970/01/01 00:00:00+00,NA,NA,NA,NA
2187,1970/01/01 00:00:00+00,NA,NA,NA,NA
2188,1970/01/01 00:00:00+00,NA,NA,NA,NA
2189,1970/01/01 00:00:00+00,NA,NA,NA,NA
2190,1970/01/01 00:00:00+00,NA,NA,NA,NA
2191,1970/01/01 00:00:00+00,NA,NA,NA,NA
2194,1970/01/01 00:00:00+00,NA,NA,NA,NA
2195,1970/01/01 00:00:00+00,NA,NA,NA,NA
2196,1970/01/01 00:00:00+00,NA,NA,NA,NA
2197,1970/01/01 00:00:00+00,NA,NA,NA,NA
2198,1970/01/01 00:00:00+00,NA,NA,NA,NA
2199,1970/01/01 00:00:00+00,NA,NA,NA,NA
2200,1970/01/01 00:00:00+00,NA,NA,NA,NA
2208,1970/01/01 00:00:00+00,NA,NA,NA,NA
2209,1970/01/01 00:00:00+00,NA,NA,NA,NA
2210,1970/01/01 00:00:00+00,NA,NA,NA,NA
2213,1970/01/01 00:00:00+00,NA,NA,NA,NA
2214,1970/01/01 00:00:00+00,NA,NA,NA,NA
2215,1970/01/01 00:00:00+00,NA,NA,NA,NA
2216,1970/01/01 00:00:00+00,NA,NA,NA,NA
2217,1970/01/01 00:00:00+00,NA,NA,NA,NA
2232,1970/01/01 00:00:00+00,NA,NA,NA,NA
2233,1970/01/01 00:00:00+00,NA,NA,NA,NA
2234,1970/01/01 00:00:00+00,NA,NA,NA,NA
2235,1970/01/01 00:00:00+00,NA,NA,NA,NA
2239,1970/01/01 00:00:00+00,NA,NA,NA,NA
2240,1970/01/01 00:00:00+00,NA,NA,NA,NA
2241,1970/01/01 00:00:00+00,NA,NA,NA,NA
2242,1970/01/01 00:00:00+00,NA,NA,NA,NA
2243,1970/01/01 00:00:00+00,NA,NA,NA,NA
2244,1970/01/01 00:00:00+00,NA,NA,NA,NA
2245,1970/01/01 00:00:00+00,NA,NA,NA,NA
2246,1970/01/01 00:00:00+00,NA,NA,NA,NA
2247,1970/01/01 00:00:00+00,NA,NA,NA,NA
2248,1970/01/01 00:00:00+00,NA,NA,NA,NA
2252,1970/01/01 00:00:00+00,NA,NA,NA,NA
2253,1970/01/01 00:00:00+00,NA,NA,NA,NA
2254,1970/01/01 00:00:00+00,NA,NA,NA,NA
2255,1970/01/01 00:00:00+00,NA,NA,NA,NA
2256,1970/01/01 00:00:00+00,NA,NA,NA,NA
2257,1970/01/01 00:00:00+00,NA,NA,NA,NA
2258,1970/01/01 00:00:00+00,NA,NA,NA,NA
2259,1970/01/01 00:00:00+00,NA,NA,NA,NA
2260,1970/01/01 00:00:00+00,NA,NA,NA,NA
2261,1970/01/01 00:00:00+00,NA,NA,NA,NA
2262,1970/01/01 00:00:00+00,NA,NA,NA,NA
2263,1970/01/01 00:00:00+00,NA,NA,NA,NA
2264,1970/01/01 00:00:00+00,NA,NA,NA,NA
2265,1970/01/01 00:00:00+00,NA,NA,NA,NA
2266,1970/01/01 00:00:00+00,NA,NA,NA,NA
2267,1970/01/01 00:00:00+00,NA,NA,NA,NA
2268,1970/01/01 00:00:00+00,NA,NA,NA,NA
2269,1970/01/01 00:00:00+00,NA,NA,NA,NA
2270,1970/01/01 00:00:00+00,NA,NA,NA,NA
2271,1970/01/01 00:00:00+00,NA,NA,NA,NA
2272,1970/01/01 00:00:00+00,NA,NA,NA,NA
2273,1970/01/01 00:00:00+00,NA,NA,NA,NA
2274,1970/01/01 00:00:00+00,NA,NA,NA,NA
2275,1970/01/01 00:00:00+00,NA,NA,NA,NA
2276,1970/01/01 00:00:00+00,NA,NA,NA,NA
2277,1970/01/01 00:00:00+00,NA,NA,NA,NA
2278,1970/01/01 00:00:00+00,NA,NA,NA,NA
2279,1970/01/01 00:00:00+00,NA,NA,NA,NA
2280,1970/01/01 00:00:00+00,NA,NA,NA,NA
2281,1970/01/01 00:00:00+00,NA,NA,NA,NA
2282,1970/01/01 00:00:00+00,NA,NA,NA,NA
2283,1970/01/01 00:00:00+00,NA,NA,NA,NA
2284,1970/01/01 00:00:00+00,NA,NA,NA,NA
2285,1970/01/01 00:00:00+00,NA,NA,NA,NA
2286,1970/01/01 00:00:00+00,NA,NA,NA,NA
2287,1970/01/01 00:00:00+00,NA,NA,NA,NA
2288,1970/01/01 00:00:00+00,NA,NA,NA,NA
2289,1970/01/01 00:00:00+00,NA,NA,NA,NA
2290,1970/01/01 00:00:00+00,NA,NA,NA,NA
2291,1970/01/01 00:00:00+00,NA,NA,NA,NA
2292,1970/01/01 00:00:00+00,NA,NA,NA,NA
2293,1970/01/01 00:00:00+00,NA,NA,NA,NA
2294,1970/01/01 00:00:00+00,NA,NA,NA,NA
2295,1970/01/01 00:00:00+00,NA,NA,NA,NA
2296,1970/01/01 00:00:00+00,NA,NA,NA,NA
2297,1970/01/01 00:00:00+00,NA,NA,NA,NA
2298,1970/01/01 00:00:00+00,NA,NA,NA,NA
2299,1970/01/01 00:00:00+00,NA,NA,NA,NA
2300,1970/01/01 00:00:00+00,NA,NA,NA,NA
2301,1970/01/01 00:00:00+00,NA,NA,NA,NA
2302,1970/01/01 00:00:00+00,NA,NA,NA,NA
2303,1970/01/01 00:00:00+00,NA,NA,NA,NA
2304,1970/01/01 00:00:00+00,NA,NA,NA,NA
2305,1970/01/01 00:00:00+00,NA,NA,NA,NA
2306,1970/01/01 00:00:00+00,NA,NA,NA,NA
2307,1970/01/01 00:00:00+00,NA,NA,NA,NA
2308,1970/01/01 00:00:00+00,NA,NA,NA,NA
2309,1970/01/01 00:00:00+00,NA,NA,NA,NA
2310,1970/01/01 00:00:00+00,NA,NA,NA,NA
2311,1970/01/01 00:00:00+00,NA,NA,NA,NA
2314,1970/01/01 00:00:00+00,NA,NA,NA,NA
2315,1970/01/01 00:00:00+00,NA,NA,NA,NA
2316,1970/01/01 00:00:00+00,NA,NA,NA,NA
2317,1970/01/01 00:00:00+00,NA,NA,NA,NA
2318,1970/01/01 00:00:00+00,NA,NA,NA,NA
2319,1970/01/01 00:00:00+00,NA,NA,NA,NA
2324,1970/01/01 00:00:00+00,NA,NA,NA,NA
2325,1970/01/01 00:00:00+00,NA,NA,NA,NA
2326,1970/01/01 00:00:00+00,NA,NA,NA,NA
2328,1970/01/01 00:00:00+00,NA,NA,NA,NA
2329,1970/01/01 00:00:00+00,NA,NA,NA,NA
2330,1970/01/01 00:00:00+00,NA,NA,NA,NA
2331,1970/01/01 00:00:00+00,NA,NA,NA,NA
2334,1970/01/01 00:00:00+00,NA,NA,NA,NA
2335,1970/01/01 00:00:00+00,NA,NA,NA,NA
2336,1970/01/01 00:00:00+00,NA,NA,NA,NA
2337,1970/01/01 00:00:00+00,NA,NA,NA,NA
2338,1970/01/01 00:00:00+00,NA,NA,NA,NA
2341,1970/01/01 00:00:00+00,NA,NA,NA,NA
2342,1970/01/01 00:00:00+00,NA,NA,NA,NA
2343,1970/01/01 00:00:00+00,NA,NA,NA,NA
2344,1970/01/01 00:00:00+00,NA,NA,NA,NA
2345,1970/01/01 00:00:00+00,NA,NA,NA,NA
2346,1970/01/01 00:00:00+00,NA,NA,NA,NA
2347,1970/01/01 00:00:00+00,NA,NA,NA,NA
2348,1970/01/01 00:00:00+00,NA,NA,NA,NA
2349,1970/01/01 00:00:00+00,NA,NA,NA,NA
2350,1970/01/01 00:00:00+00,NA,NA,NA,NA
2351,1970/01/01 00:00:00+00,NA,NA,NA,NA
2352,1970/01/01 00:00:00+00,NA,NA,NA,NA
2353,1970/01/01 00:00:00+00,NA,NA,NA,NA
2356,1970/01/01 00:00:00+00,NA,NA,NA,NA
2357,1970/01/01 00:00:00+00,NA,NA,NA,NA
2358,1970/01/01 00:00:00+00,NA,NA,NA,NA
2359,1970/01/01 00:00:00+00,NA,NA,NA,NA
2360,1970/01/01 00:00:00+00,NA,NA,NA,NA
2361,1970/01/01 00:00:00+00,NA,NA,NA,NA
2362,1970/01/01 00:00:00+00,NA,NA,NA,NA
2363,1970/01/01 00:00:00+00,NA,NA,NA,NA
2364,1970/01/01 00:00:00+00,NA,NA,NA,NA
2365,1970/01/01 00:00:00+00,NA,NA,NA,NA
2367,1970/01/01 00:00:00+00,NA,NA,NA,NA
2370,1970/01/01 00:00:00+00,NA,NA,NA,NA
2371,1970/01/01 00:00:00+00,NA,NA,NA,NA
2372,1970/01/01 00:00:00+00,NA,NA,NA,NA
2374,1970/01/01 00:00:00+00,NA,NA,NA,NA
2375,1970/01/01 00:00:00+00,NA,NA,NA,NA
2376,1970/01/01 00:00:00+00,NA,NA,NA,NA
2377,1970/01/01 00:00:00+00,NA,NA,NA,NA
2378,1970/01/01 00:00:00+00,NA,NA,NA,NA
2379,1970/01/01 00:00:00+00,NA,NA,NA,NA
2380,1970/01/01 00:00:00+00,NA,NA,NA,NA
2384,1970/01/01 00:00:00+00,NA,NA,NA,NA
2385,1970/01/01 00:00:00+00,NA,NA,NA,NA
2386,1970/01/01 00:00:00+00,NA,NA,NA,NA
2388,1970/01/01 00:00:00+00,NA,NA,NA,NA
2389,1970/01/01 00:00:00+00,NA,NA,NA,NA
2391,1970/01/01 00:00:00+00,NA,NA,NA,NA
2392,1970/01/01 00:00:00+00,NA,NA,NA,NA
2393,1970/01/01 00:00:00+00,NA,NA,NA,NA
2394,1970/01/01 00:00:00+00,NA,NA,NA,NA
2396,1970/01/01 00:00:00+00,NA,NA,NA,NA
2397,1970/01/01 00:00:00+00,NA,NA,NA,NA
2400,1970/01/01 00:00:00+00,NA,NA,NA,NA
2401,1970/01/01 00:00:00+00,NA,NA,NA,NA
2402,1970/01/01 00:00:00+00,NA,NA,NA,NA
2404,1970/01/01 00:00:00+00,NA,NA,NA,NA
2406,1970/01/01 00:00:00+00,NA,NA,NA,NA
2408,1970/01/01 00:00:00+00,NA,NA,NA,NA
2409,1970/01/01 00:00:00+00,NA,NA,NA,NA
2412,1970/01/01 00:00:00+00,NA,NA,NA,NA
2414,1970/01/01 00:00:00+00,NA,NA,NA,NA
2416,1970/01/01 00:00:00+00,NA,NA,NA,NA
2417,1970/01/01 00:00:00+00,NA,NA,NA,NA
2422,1970/01/01 00:00:00+00,NA,NA,NA,NA
2423,1970/01/01 00:00:00+00,NA,NA,NA,NA
2425,1970/01/01 00:00:00+00,NA,NA,NA,NA
2426,1970/01/01 00:00:00+00,NA,NA,NA,NA
2427,1970/01/01 00:00:00+00,NA,NA,NA,NA
2428,1970/01/01 00:00:00+00,NA,NA,NA,NA
2429,1970/01/01 00:00:00+00,NA,NA,NA,NA
2430,1970/01/01 00:00:00+00,NA,NA,NA,NA
2431,1970/01/01 00:00:00+00,NA,NA,NA,NA
2435,1970/01/01 00:00:00+00,NA,NA,NA,NA
2436,1970/01/01 00:00:00+00,NA,NA,NA,NA
2437,1970/01/01 00:00:00+00,NA,NA,NA,NA
2438,1970/01/01 00:00:00+00,NA,NA,NA,NA
2439,1970/01/01 00:00:00+00,NA,NA,NA,NA
2440,1970/01/01 00:00:00+00,NA,NA,NA,NA
2441,1970/01/01 00:00:00+00,NA,NA,NA,NA
2442,1970/01/01 00:00:00+00,NA,NA,NA,NA
2443,1970/01/01 00:00:00+00,NA,NA,NA,NA
2445,1970/01/01 00:00:00+00,NA,NA,NA,NA
2446,1970/01/01 00:00:00+00,NA,NA,NA,NA
2447,1970/01/01 00:00:00+00,NA,NA,NA,NA
2449,1970/01/01 00:00:00+00,NA,NA,NA,NA
2450,1970/01/01 00:00:00+00,NA,NA,NA,NA
2452,1970/01/01 00:00:00+00,NA,NA,NA,NA
2454,1970/01/01 00:00:00+00,NA,NA,NA,NA
2457,1970/01/01 00:00:00+00,NA,NA,NA,NA
2458,1970/01/01 00:00:00+00,NA,NA,NA,NA
2459,1970/01/01 00:00:00+00,NA,NA,NA,NA
2460,1970/01/01 00:00:00+00,NA,NA,NA,NA
2462,1970/01/01 00:00:00+00,NA,NA,NA,NA
2463,1970/01/01 00:00:00+00,NA,NA,NA,NA
2464,1970/01/01 00:00:00+00,NA,NA,NA,NA
2465,1970/01/01 00:00:00+00,NA,NA,NA,NA
2466,1970/01/01 00:00:00+00,NA,NA,NA,NA
2468,1970/01/01 00:00:00+00,NA,NA,NA,NA
2469,1970/01/01 00:00:00+00,NA,NA,NA,NA
2470,1970/01/01 00:00:00+00,NA,NA,NA,NA
2473,1970/01/01 00:00:00+00,NA,NA,NA,NA
2474,1970/01/01 00:00:00+00,NA,NA,NA,NA
2476,1970/01/01 00:00:00+00,NA,NA,NA,NA
2477,1970/01/01 00:00:00+00,NA,NA,NA,NA
2478,1970/01/01 00:00:00+00,NA,NA,NA,NA
2479,1970/01/01 00:00:00+00,NA,NA,NA,NA
2480,1970/01/01 00:00:00+00,NA,NA,NA,NA
2481,1970/01/01 00:00:00+00,NA,NA,NA,NA
2482,1970/01/01 00:00:00+00,NA,NA,NA,NA
2483,1970/01/01 00:00:00+00,NA,NA,NA,NA
2485,1970/01/01 00:00:00+00,NA,NA,NA,NA
2487,1970/01/01 00:00:00+00,NA,NA,NA,NA
2488,1970/01/01 00:00:00+00,NA,NA,NA,NA
