planet,method,year,number,radius,mass,facility
11 Com b,Radial Velocity,2007,1,NA,6165.6,Xinglong Station
11 UMi b,Radial Velocity,2009,1,NA,4684.8142,Thueringer Landessternwarte Tautenburg
14 And b,Radial Velocity,2008,1,NA,1525.5,Okayama Astrophysical Observatory
14 Her b,Radial Velocity,2002,1,NA,1481.0878,W. M. Keck Observatory
16 Cyg B b,Radial Velocity,1996,1,NA,565.7374,Multiple Observatories
18 Del b,Radial Velocity,2008,1,NA,3273.5,Okayama Astrophysical Observatory
1RXS J160929.1-210524 b,Imaging,2008,1,NA,3000,Gemini Observatory
24 Boo b,Radial Velocity,2018,1,NA,289.2253,Okayama Astrophysical Observatory
24 Sex b,Radial Velocity,2010,2,NA,632.46,Lick Observatory
24 Sex c,Radial Velocity,2010,2,NA,273.32,Lick Observatory
2MASS J01033563-5515561 AB b,Imaging,2013,1,NA,4131.79,Paranal Observatory
2MASS J01225093-2439505 b,Imaging,2013,1,NA,7786.5,W. M. Keck Observatory
2MASS J02192210-3925225 b,Imaging,2015,1,16.141,4417.837,Cerro Tololo Inter-American Observatory
2MASS J04414489+2301513 b,Imaging,2010,1,NA,2383.6,Hubble Space Telescope
2MASS J12073346-3932539 b,Imaging,2004,1,NA,1271,Paranal Observatory
2MASS J19383260+4603591 b,Eclipse Timing Variations,2015,1,NA,603.877,Kepler
2MASS J21402931+1625183 A b,Imaging,2009,1,10.31,6657.48,W. M. Keck Observatory
2MASS J22362452+4751425 b,Imaging,2016,1,NA,3972.875,W. M. Keck Observatory
30 Ari B b,Radial Velocity,2009,1,NA,4392.4106,Thueringer Landessternwarte Tautenburg
4 UMa b,Radial Velocity,2006,1,NA,2256.5,Thueringer Landessternwarte Tautenburg
42 Dra b,Radial Velocity,2008,1,NA,1233.13,Thueringer Landessternwarte Tautenburg
47 UMa b,Radial Velocity,1996,3,NA,804.08,Lick Observatory
47 UMa c,Radial Velocity,2001,3,NA,171.621,Lick Observatory
47 UMa d,Radial Velocity,2009,3,NA,521.22,Lick Observatory
51 Eri b,Imaging,2015,1,NA,NA,Gemini Observatory
51 Peg b,Radial Velocity,1995,1,NA,150.009,Haute-Provence Observatory
55 Cnc b,Radial Velocity,1996,5,NA,263.9785,Lick Observatory
55 Cnc c,Radial Velocity,2004,5,NA,54.4738,McDonald Observatory
55 Cnc d,Radial Velocity,2002,5,NA,1232.493,Lick Observatory
55 Cnc e,Radial Velocity,2004,5,1.91,8.08,McDonald Observatory
55 Cnc f,Radial Velocity,2007,5,NA,44.812,Multiple Observatories
6 Lyn b,Radial Velocity,2008,1,NA,638.8383,Okayama Astrophysical Observatory
61 Vir b,Radial Velocity,2009,3,NA,5.1,Multiple Observatories
61 Vir c,Radial Velocity,2009,3,NA,18.2,Multiple Observatories
61 Vir d,Radial Velocity,2009,3,NA,22.9,Multiple Observatories
7 CMa b,Radial Velocity,2011,2,NA,587.9855,Anglo-Australian Telescope
7 CMa c,Radial Velocity,2019,2,NA,276.5121,Multiple Observatories
70 Vir b,Radial Velocity,1996,1,NA,2357.02728,Lick Observatory
75 Cet b,Radial Velocity,2012,1,NA,953.49,Okayama Astrophysical Observatory
8 UMi b,Radial Velocity,2015,1,NA,416.3573,Bohyunsan Optical Astronomical Observatory
81 Cet b,Radial Velocity,2008,1,NA,1684.4,Okayama Astrophysical Observatory
91 Aqr b,Radial Velocity,2013,1,NA,1017,Lick Observatory
AB Pic b,Imaging,2005,1,NA,4290.5,Paranal Observatory
AU Mic b,Transit,2020,1,4.203,57.2094,Transiting Exoplanet Survey Satellite (TESS)
BD+03 2562 b,Radial Velocity,2017,1,NA,2034.112,Multiple Observatories
BD+14 4559 b,Radial Velocity,2009,1,NA,330.5432,McDonald Observatory
BD+15 2375 b,Radial Velocity,2016,1,NA,337.21763,Roque de los Muchachos Observatory
BD+15 2940 b,Radial Velocity,2013,1,NA,352.78,McDonald Observatory
BD+20 2457 b,Radial Velocity,2009,2,NA,17668.1697,McDonald Observatory
BD+20 2457 c,Radial Velocity,2009,2,NA,3963.17,McDonald Observatory
BD+20 274 b,Radial Velocity,2012,1,NA,1334.886,McDonald Observatory
BD+20 594 b,Transit,2016,1,2.578,22.2481,K2
BD+48 738 b,Radial Velocity,2011,1,NA,289.2253,McDonald Observatory
BD+48 740 b,Radial Velocity,2018,1,NA,540.311,Multiple Observatories
BD+49 828 b,Radial Velocity,2015,1,NA,508.5,McDonald Observatory
BD-06 1339 b,Radial Velocity,2013,2,NA,8.5,La Silla Observatory
BD-06 1339 c,Radial Velocity,2013,2,NA,53,La Silla Observatory
BD-08 2823 b,Radial Velocity,2009,2,NA,12.7132,La Silla Observatory
BD-08 2823 c,Radial Velocity,2009,2,NA,104,La Silla Observatory
BD-10 3166 b,Radial Velocity,2000,1,NA,187.5197,W. M. Keck Observatory
BD-11 4672 b,Radial Velocity,2014,2,NA,206.5895,La Silla Observatory
BD-11 4672 c,Radial Velocity,2020,2,NA,15.37,Roque de los Muchachos Observatory
BD-13 2130 b,Radial Velocity,2007,1,NA,3108.3774,La Silla Observatory
BD-17 63 b,Radial Velocity,2008,1,NA,1620.9,La Silla Observatory
CFBDSIR J145829+101343 b,Imaging,2011,1,NA,3337.1,W. M. Keck Observatory
CHXR 73 b,Imaging,2006,1,NA,3994.486,Hubble Space Telescope
CI Tau b,Radial Velocity,2019,1,NA,3686.828,Multiple Observatories
CT Cha b,Imaging,2007,1,24.66,5403,Paranal Observatory
CoRoT-1 b,Transit,2008,1,16.7,327.35,CoRoT
CoRoT-10 b,Transit,2010,1,10.87,874,CoRoT
CoRoT-11 b,Transit,2010,1,16.03,740.51,CoRoT
CoRoT-12 b,Transit,2010,1,16.14,291.438,CoRoT
CoRoT-13 b,Transit,2010,1,9.92,415.704,CoRoT
CoRoT-14 b,Transit,2010,1,12.22,2415.4,CoRoT
CoRoT-16 b,Transit,2011,1,13.11,170.032,CoRoT
CoRoT-17 b,Transit,2011,1,11.43,772.29,CoRoT
CoRoT-18 b,Transit,2011,1,14.68,1102.82,CoRoT
CoRoT-19 b,Transit,2011,1,14.46,352.78,CoRoT
CoRoT-2 b,Transit,2008,1,16.432,1102.82,CoRoT
CoRoT-20 b,Transit,2011,2,NA,1366.669,CoRoT
CoRoT-20 c,Radial Velocity,2018,2,NA,5403.11,Multiple Observatories
CoRoT-21 b,Transit,2012,1,14.572,718.2958,CoRoT
CoRoT-22 b,Transit,2014,1,4.88,12.2,CoRoT
CoRoT-23 b,Transit,2011,1,11.77,889.9,CoRoT
CoRoT-24 b,Transit,2014,2,3.7,5.7,CoRoT
CoRoT-24 c,Transit,2014,2,5,28,CoRoT
CoRoT-25 b,Transit,2013,1,12.11,85.81,CoRoT
CoRoT-26 b,Transit,2013,1,14.12,165.26,CoRoT
CoRoT-27 b,Transit,2014,1,11.287,3302.11,CoRoT
CoRoT-28 b,Transit,2015,1,10.705,153.82972,CoRoT
CoRoT-29 b,Transit,2015,1,10.088,270.1555,CoRoT
CoRoT-3 b,Transit,2008,1,11.32,6883.91,CoRoT
CoRoT-30 b,Transit,2020,1,11.31,921.707,CoRoT
CoRoT-31 b,Transit,2020,1,16.365,266.9772,CoRoT
CoRoT-4 b,Transit,2008,1,13.34,228.83,CoRoT
CoRoT-5 b,Transit,2009,1,15.558,148.42,CoRoT
CoRoT-6 b,Transit,2009,1,13.068,940.74,CoRoT
CoRoT-7 b,Transit,2009,2,1.681,3.1783,CoRoT
CoRoT-7 c,Radial Velocity,2009,2,NA,8.4,CoRoT
CoRoT-8 b,Transit,2010,1,6.39,69.92,CoRoT
CoRoT-9 b,Transit,2009,1,11.949,266.9772,CoRoT
CoRoTID 223977153 b,Transit,2017,1,6.389,47.6745,CoRoT
DE CVn b,Eclipse Timing Variations,2018,1,NA,3823.2733,Multiple Facilities
DENIS-P J082303.1-491201 b,Astrometry,2013,1,NA,9057.77,Paranal Observatory
DH Tau b,Imaging,2004,1,NA,3496,Subaru Telescope
DMPP-1 b,Radial Velocity,2019,4,NA,24.27,La Silla Observatory
DMPP-1 c,Radial Velocity,2019,4,NA,9.6,La Silla Observatory
DMPP-1 d,Radial Velocity,2019,4,NA,3.35,La Silla Observatory
DMPP-1 e,Radial Velocity,2019,4,NA,4.13,La Silla Observatory
DMPP-2 b,Radial Velocity,2019,1,NA,138.89171,Multiple Facilities
DMPP-3 A b,Radial Velocity,2019,1,NA,2.58,La Silla Observatory
DP Leo b,Eclipse Timing Variations,2009,1,NA,1922.79,Yunnan Astronomical Observatory
DS Tuc A b,Transit,2019,1,5.7,NA,Transiting Exoplanet Survey Satellite (TESS)
EPIC 201238110 b,Transit,2019,1,1.87,NA,K2
EPIC 201497682 b,Transit,2019,1,0.692,NA,K2
EPIC 201615463 c,Transit,2019,2,1.22,NA,K2
EPIC 201754305 d,Transit,2019,3,1.03,NA,K2
EPIC 201833600 c,Transit,2019,2,1,NA,K2
EPIC 201841433 b,Transit,2019,1,1.1,NA,K2
EPIC 205950854 c,Transit,2019,2,1.31,NA,K2
EPIC 206024342 b,Transit,2019,1,1.7,NA,K2
EPIC 206032309 b,Transit,2019,1,1.01,NA,K2
EPIC 206042996 b,Transit,2019,1,1.62,NA,K2
EPIC 206215704 b,Transit,2019,1,0.9,NA,K2
EPIC 206317286 b,Transit,2019,1,0.96,NA,K2
EPIC 211822797 b,Transit,2016,1,1.98,NA,K2
EPIC 211945201 b,Transit,2018,1,5.76,NA,K2
EPIC 212297394 b,Transit,2019,1,1.323,NA,K2
EPIC 212424622 b,Transit,2019,1,2.17,NA,K2
EPIC 212499991 b,Transit,2019,1,1.6,NA,K2
EPIC 212587672 b,Transit,2019,1,1.12,NA,K2
EPIC 212737443 b,Transit,2019,2,2.586,NA,K2
EPIC 212737443 c,Transit,2019,2,2.69,NA,K2
EPIC 220554210 c,Transit,2019,2,1.48,NA,K2
EPIC 220674823 b,Transit,2016,2,1.82,NA,K2
EPIC 220674823 c,Transit,2016,2,2.73,NA,K2
EPIC 246851721 b,Transit,2018,1,11.781,953.49,K2
EPIC 248847494 b,Transit,2018,1,12.442,4131.79,K2
EPIC 249893012 b,Transit,2020,3,1.95,8.75,K2
EPIC 249893012 c,Transit,2020,3,3.67,14.67,K2
EPIC 249893012 d,Transit,2020,3,3.94,10.18,K2
FU Tau b,Imaging,2008,1,NA,5085.28,Spitzer Space Telescope
G 9-40 b,Transit,2019,1,2.025,NA,K2
GJ 1061 b,Radial Velocity,2020,3,NA,1.37,La Silla Observatory
GJ 1061 c,Radial Velocity,2020,3,NA,1.74,La Silla Observatory
GJ 1061 d,Radial Velocity,2020,3,NA,1.64,La Silla Observatory
GJ 1132 b,Transit,2015,2,1.13,1.66,Cerro Tololo Inter-American Observatory
GJ 1132 c,Radial Velocity,2018,2,NA,2.64,La Silla Observatory
GJ 1148 b,Radial Velocity,2010,2,NA,96.7,W. M. Keck Observatory
GJ 1148 c,Radial Velocity,2017,2,NA,68.06,Calar Alto Observatory
GJ 1214 b,Transit,2009,1,2.847,6.26125,MEarth Project
GJ 1252 b,Transit,2020,1,1.193,2.09,Transiting Exoplanet Survey Satellite (TESS)
GJ 1265 b,Radial Velocity,2018,1,NA,7.4,Calar Alto Observatory
GJ 143 b,Transit,2019,2,2.61,22.7,Transiting Exoplanet Survey Satellite (TESS)
GJ 15 A b,Radial Velocity,2014,2,NA,3.03,W. M. Keck Observatory
GJ 15 A c,Radial Velocity,2018,2,NA,36,Roque de los Muchachos Observatory
GJ 160.2 b,Radial Velocity,2014,1,NA,10.2,Multiple Observatories
GJ 163 b,Radial Velocity,2013,3,NA,10.6,La Silla Observatory
GJ 163 c,Radial Velocity,2013,3,NA,6.8,La Silla Observatory
GJ 163 d,Radial Velocity,2013,3,NA,29.4,La Silla Observatory
GJ 179 b,Radial Velocity,2009,1,NA,260.61,W. M. Keck Observatory
GJ 180 b,Radial Velocity,2014,3,NA,6.49,Multiple Observatories
GJ 180 c,Radial Velocity,2014,3,NA,6.4,Multiple Observatories
GJ 180 d,Radial Velocity,2020,3,NA,7.56,Multiple Facilities
GJ 2056 b,Radial Velocity,2020,1,NA,16.2,Multiple Observatories
GJ 229 A c,Radial Velocity,2020,2,NA,7.268,Multiple Facilities
GJ 229 b,Radial Velocity,2014,2,NA,8.478,Multiple Observatories
GJ 27.1 b,Radial Velocity,2014,1,NA,13,Multiple Observatories
GJ 273 b,Radial Velocity,2017,2,NA,2.89,La Silla Observatory
GJ 273 c,Radial Velocity,2017,2,NA,1.18,La Silla Observatory
GJ 3021 b,Radial Velocity,2000,1,NA,1071.04,La Silla Observatory
GJ 3082 b,Radial Velocity,2020,1,NA,8.2,Multiple Facilities
GJ 3138 b,Radial Velocity,2017,3,NA,1.78,La Silla Observatory
GJ 3138 c,Radial Velocity,2017,3,NA,4.18,La Silla Observatory
GJ 3138 d,Radial Velocity,2017,3,NA,10.5,La Silla Observatory
GJ 317 b,Radial Velocity,2007,2,NA,557.1,W. M. Keck Observatory
GJ 317 c,Radial Velocity,2018,2,NA,522.5,W. M. Keck Observatory
GJ 328 b,Radial Velocity,2013,1,NA,731,McDonald Observatory
GJ 3293 b,Radial Velocity,2015,4,NA,23.54,La Silla Observatory
GJ 3293 c,Radial Velocity,2015,4,NA,21.09,La Silla Observatory
GJ 3293 d,Radial Velocity,2017,4,NA,7.6,La Silla Observatory
GJ 3293 e,Radial Velocity,2017,4,NA,3.28,La Silla Observatory
GJ 3323 b,Radial Velocity,2017,2,NA,2.02,La Silla Observatory
GJ 3323 c,Radial Velocity,2017,2,NA,2.31,La Silla Observatory
GJ 3341 b,Radial Velocity,2015,1,NA,6.6,La Silla Observatory
GJ 338 B b,Radial Velocity,2020,1,NA,10.27,Calar Alto Observatory
GJ 3470 b,Radial Velocity,2012,1,4.57,13.9,La Silla Observatory
GJ 3512 b,Radial Velocity,2019,1,NA,147.15529,Calar Alto Observatory
GJ 357 b,Transit,2019,3,1.217,1.84,Transiting Exoplanet Survey Satellite (TESS)
GJ 357 c,Radial Velocity,2019,3,NA,3.4,Multiple Observatories
GJ 357 d,Radial Velocity,2019,3,NA,6.1,Multiple Observatories
GJ 3634 b,Radial Velocity,2010,1,NA,8.4,La Silla Observatory
GJ 3779 b,Radial Velocity,2018,1,NA,8,Calar Alto Observatory
GJ 3942 b,Radial Velocity,2017,1,NA,7.14,Roque de los Muchachos Observatory
GJ 3998 b,Radial Velocity,2016,2,NA,2.47,Roque de los Muchachos Observatory
GJ 3998 c,Radial Velocity,2016,2,NA,6.26,Roque de los Muchachos Observatory
GJ 411 b,Radial Velocity,2019,1,NA,2.99,Haute-Provence Observatory
GJ 422 b,Radial Velocity,2014,1,NA,11.07,Multiple Observatories
GJ 4276 b,Radial Velocity,2019,1,NA,16.57,Calar Alto Observatory
GJ 433 b,Radial Velocity,2011,3,NA,6.043,La Silla Observatory
GJ 433 c,Radial Velocity,2014,3,NA,32.422,Multiple Observatories
GJ 433 d,Radial Velocity,2020,3,NA,5.223,Multiple Facilities
GJ 436 b,Radial Velocity,2004,1,4.17,22.1,W. M. Keck Observatory
GJ 480 b,Radial Velocity,2020,1,NA,13.2,Multiple Observatories
GJ 504 b,Imaging,2013,1,NA,1271.3,Subaru Telescope
GJ 536 b,Radial Velocity,2016,1,NA,5.36,La Silla Observatory
GJ 581 b,Radial Velocity,2005,3,NA,15.8,La Silla Observatory
GJ 581 c,Radial Velocity,2007,3,NA,5.5,La Silla Observatory
GJ 581 e,Radial Velocity,2009,3,NA,1.7,La Silla Observatory
GJ 625 b,Radial Velocity,2017,1,NA,2.82,Multiple Observatories
GJ 649 b,Radial Velocity,2009,1,NA,104.244,W. M. Keck Observatory
GJ 667 C b,Radial Velocity,2011,5,NA,5.6,La Silla Observatory
GJ 667 C c,Radial Velocity,2011,5,NA,3.8,La Silla Observatory
GJ 667 C e,Radial Velocity,2013,5,NA,2.7,La Silla Observatory
GJ 667 C f,Radial Velocity,2013,5,NA,2.7,La Silla Observatory
GJ 667 C g,Radial Velocity,2013,5,NA,4.6,La Silla Observatory
GJ 674 b,Radial Velocity,2007,1,NA,11.09,La Silla Observatory
GJ 676 A b,Radial Velocity,2010,4,NA,1576.4368,La Silla Observatory
GJ 676 A c,Radial Velocity,2016,4,NA,2161.244,Paranal Observatory
GJ 676 A d,Radial Velocity,2012,4,NA,4.4,La Silla Observatory
GJ 676 A e,Radial Velocity,2012,4,NA,8.1,La Silla Observatory
GJ 682 b,Radial Velocity,2014,2,NA,4.4,Multiple Observatories
GJ 682 c,Radial Velocity,2014,2,NA,8.7,Multiple Observatories
GJ 685 b,Radial Velocity,2019,1,NA,9,Qatar
GJ 687 b,Radial Velocity,2014,2,NA,17.2,Lick Observatory
GJ 687 c,Radial Velocity,2020,2,NA,16,Multiple Observatories
GJ 832 b,Radial Velocity,2008,2,NA,216,Anglo-Australian Telescope
GJ 832 c,Radial Velocity,2014,2,NA,5.4,Multiple Observatories
GJ 849 b,Radial Velocity,2006,1,NA,317.83,W. M. Keck Observatory
GJ 86 b,Radial Velocity,1999,1,NA,1404.8086,La Silla Observatory
GJ 876 b,Radial Velocity,1998,4,NA,723.2235,Multiple Observatories
GJ 876 c,Radial Velocity,2000,4,NA,226.9846,Multiple Observatories
GJ 876 d,Radial Velocity,2005,4,NA,6.83,W. M. Keck Observatory
GJ 876 e,Radial Velocity,2010,4,NA,14.6,W. M. Keck Observatory
GJ 887 b,Radial Velocity,2020,2,NA,4.2,La Silla Observatory
GJ 887 c,Radial Velocity,2020,2,NA,7.6,La Silla Observatory
GJ 9066 b,Radial Velocity,2020,2,NA,30.9,Multiple Observatories
GJ 9066 c,Radial Velocity,2020,2,NA,71.6,Multiple Observatories
GJ 96 b,Radial Velocity,2018,1,NA,19.66,Haute-Provence Observatory
GJ 9827 b,Transit,2017,3,1.577,4.91,K2
GJ 9827 c,Transit,2017,3,1.241,0.84,K2
GJ 9827 d,Transit,2017,3,2.022,4.04,K2
GQ Lup b,Imaging,2004,1,33.6,6356,Paranal Observatory
GSC 06214-00210 b,Imaging,2010,1,NA,5000,Palomar Observatory
GU Psc b,Imaging,2014,1,14.179,3591.3,Gemini Observatory
Gl 378 b,Radial Velocity,2019,1,NA,13.02,Haute-Provence Observatory
Gl 49 b,Radial Velocity,2019,1,NA,5.63,Multiple Observatories
Gl 686 b,Radial Velocity,2018,1,NA,6.64,Roque de los Muchachos Observatory
HAT-P-1 b,Transit,2006,1,14.785,166.86075,HATNet
HAT-P-11 b,Transit,2008,2,4.36,23.4,HATNet
HAT-P-11 c,Radial Velocity,2018,2,NA,507,W. M. Keck Observatory
HAT-P-12 b,Transit,2009,1,10.749,67.059,HATNet
HAT-P-13 b,Transit,2009,2,14.258,270.462,HATNet
HAT-P-13 c,Radial Velocity,2009,2,NA,4538.421,W. M. Keck Observatory
HAT-P-14 b,Transit,2010,1,15.917,1093.3352,HATNet
HAT-P-15 b,Transit,2010,1,11.882,616.5902,HATNet
HAT-P-16 b,Transit,2010,1,14.448,1332.605,HATNet
HAT-P-17 b,Transit,2010,2,11.769,184.3414,HATNet
HAT-P-17 c,Radial Velocity,2010,2,NA,1080.6,W. M. Keck Observatory
HAT-P-18 b,Transit,2010,1,11.153,62.61,HATNet
HAT-P-19 b,Transit,2010,1,12.689,92.802,HATNet
HAT-P-2 b,Transit,2007,1,NA,2739.6946,HATNet
HAT-P-20 b,Transit,2010,1,9.718,2302.899,HATNet
HAT-P-21 b,Transit,2010,1,12.442,1547.8321,HATNet
HAT-P-22 b,Transit,2010,1,12.89,785.0401,HATNet
HAT-P-23 b,Transit,2010,1,12.218,425.8922,HATNet
HAT-P-24 b,Transit,2010,1,14.572,238.3725,HATNet
HAT-P-25 b,Transit,2010,1,12.722,180.84527,HATNet
HAT-P-26 b,Transit,2010,1,7.062,22.2481,HATNet
HAT-P-27 b,Transit,2011,1,11.43,197.05,HATNet
HAT-P-28 b,Transit,2011,1,13.585,198.953,HATNet
HAT-P-29 b,Transit,2011,1,13.115,279.6904,HATNet
HAT-P-3 b,Transit,2007,1,10.536,206.5895,HATNet
HAT-P-30 b,Transit,2011,1,16.141,263.7989,HATNet
HAT-P-31 b,Transit,2011,1,12.218,721.4741,HATNet
HAT-P-32 b,Transit,2011,1,22.194,216.1244,HATNet
HAT-P-33 b,Transit,2011,1,20.737,292.4036,HATNet
HAT-P-34 b,Transit,2011,1,13.417,1058.3739,HATNet
HAT-P-35 b,Transit,2011,1,14.93,335.62848,HATNet
HAT-P-36 b,Transit,2011,1,14.314,587.41341,HATNet
HAT-P-37 b,Transit,2011,1,13.204,371.528,HATNet
HAT-P-38 b,Transit,2012,1,9.247,84.857,HATNet
HAT-P-39 b,Transit,2012,1,17.609,190.372,HATNet
HAT-P-4 b,Transit,2007,1,14.28,213.255,HATNet
HAT-P-40 b,Transit,2012,1,17.038,152.5584,HATNet
HAT-P-41 b,Transit,2012,1,22.978,378.2177,HATNet
HAT-P-42 b,Transit,2012,1,14.348,331.801,HATNet
HAT-P-43 b,Transit,2012,1,14.359,210.395,HATNet
HAT-P-44 b,Transit,2014,2,13.922,111.871,HATNet
HAT-P-44 c,Radial Velocity,2014,2,NA,1271.3,W. M. Keck Observatory
HAT-P-45 b,Transit,2014,1,15.984,283.492,HATNet
HAT-P-46 b,Transit,2014,1,14.392,156.684,HATNet
HAT-P-49 b,Transit,2014,1,17.822,699.226,HATNet
HAT-P-5 b,Transit,2007,1,13.563,311.4734,HATNet
HAT-P-50 b,Transit,2015,1,14.437,429.0705,HATNet
HAT-P-51 b,Transit,2015,1,14.493,98.20947,HATNet
HAT-P-52 b,Transit,2015,1,11.31,259.98494,HATNet
HAT-P-53 b,Transit,2015,1,14.773,471.65972,HATNet
HAT-P-54 b,Transit,2015,1,10.581,241.5508,HATNet
HAT-P-55 b,Transit,2015,1,13.249,184.97706,HATNet
HAT-P-56 b,Transit,2015,1,16.926,734.1873,HATNet
HAT-P-57 b,Transit,2015,1,19.504,448.1403,HATNet
HAT-P-6 b,Transit,2007,1,16.589,419.5356,HATNet
HAT-P-65 b,Transit,2016,1,21.185,167.49641,HATNet
HAT-P-66 b,Transit,2016,1,17.822,248.86089,HATNet
HAT-P-67 b,Transit,2017,1,23.371,108.0622,HATNet
HAT-P-69 b,Transit,2019,1,18.786,1137.8314,HATNet
HAT-P-7 b,Transit,2008,1,16.926,584.8072,HATNet
HAT-P-70 b,Transit,2019,1,20.961,2154.8874,HATNet
HAT-P-8 b,Transit,2008,1,15.693,406.8224,HATNet
HAT-P-9 b,Transit,2008,1,15.614,238.05467,HATNet
HATS-1 b,Transit,2012,1,14.594,589.55,HATSouth
HATS-10 b,Transit,2015,1,10.862,167.17858,HATSouth
HATS-11 b,Transit,2016,1,18.03,NA,HATSouth
HATS-12 b,Transit,2016,1,7.76,NA,HATSouth
HATS-13 b,Transit,2015,1,13.585,172.58169,HATSouth
HATS-14 b,Transit,2015,1,11.646,340.39593,HATSouth
HATS-15 b,Transit,2016,1,12.386,689.6911,HATSouth
HATS-16 b,Transit,2016,1,14.572,1039.3041,HATSouth
HATS-17 b,Transit,2016,1,8.709,425.25654,HATSouth
HATS-18 b,Transit,2016,1,14.897,629.14449,Multiple Observatories
HATS-2 b,Transit,2013,1,13.092,427.463,HATSouth
HATS-22 b,Transit,2017,1,10.682,870.8542,HATSouth
HATS-23 b,Transit,2017,1,20.849,467.2101,HATSouth
HATS-24 b,Transit,2017,1,15.637,718.2958,HATSouth
HATS-25 b,Transit,2016,1,14.123,194.82979,HATSouth
HATS-26 b,Transit,2016,1,19.616,206.5895,HATSouth
HATS-27 b,Transit,2016,1,16.814,168.4499,HATSouth
HATS-28 b,Transit,2016,1,13.384,213.58176,HATSouth
HATS-29 b,Transit,2016,1,14.022,207.54299,HATSouth
HATS-3 b,Transit,2013,1,15.48,340.382,HATSouth
HATS-30 b,Transit,2016,1,13.171,224.38798,HATSouth
HATS-31 b,Transit,2016,1,18.383,279.6904,HATSouth
HATS-32 b,Transit,2016,1,14,292.4036,HATSouth
HATS-33 b,Transit,2016,1,13.787,378.85336,HATSouth
HATS-34 b,Transit,2016,1,16.029,299.07803,HATSouth
HATS-35 b,Transit,2016,1,16.41,388.38826,HATSouth
HATS-36 b,Transit,2018,1,12.92,NA,HATSouth
HATS-37 A b,Transit,2020,1,6.793,31.46517,HATSouth
HATS-38 b,Transit,2020,1,6.882,23.51942,HATSouth
HATS-39 b,Transit,2018,1,17.598,200.2329,HATSouth
HATS-4 b,Transit,2014,1,11.433,420.471,HATSouth
HATS-40 b,Transit,2018,1,17.71,505.3497,HATSouth
HATS-41 b,Transit,2018,1,14.908,3082.951,HATSouth
HATS-42 b,Transit,2018,1,15.693,597.5204,HATSouth
HATS-43 b,Transit,2018,1,13.227,82.95363,HATSouth
HATS-44 b,Transit,2018,1,11.96,177.9848,HATSouth
HATS-45 b,Transit,2018,1,14.415,222.481,HATSouth
HATS-46 b,Transit,2018,1,10.122,54.98459,HATSouth
HATS-47 b,Transit,2020,1,12.52,117.27927,HATSouth
HATS-48 A b,Transit,2020,1,8.967,77.23269,HATSouth
HATS-49 b,Transit,2020,1,8.575,112.19399,HATSouth
HATS-5 b,Transit,2014,1,10.223,75.323,HATSouth
HATS-50 b,Transit,2017,1,12.666,123.9537,HATSouth
HATS-51 b,Transit,2017,1,15.805,244.09344,HATSouth
HATS-52 b,Transit,2017,1,15.491,711.9392,HATSouth
HATS-53 b,Transit,2017,1,15.02,189.10885,HATSouth
HATS-54 b,Transit,2019,1,11.96,241.5508,HATSouth
HATS-55 b,Transit,2019,1,14.022,292.72143,HATSouth
HATS-56 b,Transit,2019,1,18.921,191.33366,HATSouth
HATS-57 b,Transit,2019,1,12.767,1000.21101,HATSouth
HATS-58 A b,Transit,2019,1,12.274,327.3649,HATSouth
HATS-59 b,Transit,2018,2,12.621,256.17098,HATSouth
HATS-59 c,Radial Velocity,2018,2,NA,4036.441,HATSouth
HATS-6 b,Transit,2015,1,11.187,101.38777,HATSouth
HATS-60 b,Transit,2018,1,12.924,210.40346,HATSouth
HATS-61 b,Transit,2018,1,13.395,1080.622,HATSouth
HATS-62 b,Transit,2018,1,11.825,56.89157,HATSouth
HATS-63 b,Transit,2018,1,13.529,305.1168,HATSouth
HATS-64 b,Transit,2018,1,18.82,305.1168,HATSouth
HATS-65 b,Transit,2018,1,16.825,260.93843,HATSouth
HATS-66 b,Transit,2018,1,15.816,1694.0339,HATSouth
HATS-67 b,Transit,2018,1,18.887,460.8535,HATSouth
HATS-68 b,Transit,2018,1,13.809,410.0007,HATSouth
HATS-69 b,Transit,2018,1,10.593,183.38791,HATSouth
HATS-7 b,Transit,2015,1,6.311,38.1396,HATSouth
HATS-70 b,Transit,2019,1,15.513,4100.007,HATSouth
HATS-72 b,Transit,2020,1,8.097,39.85588,HATSouth
HATS-8 b,Transit,2015,1,9.785,43.86054,HATSouth
HATS-9 b,Transit,2015,1,13.85,NA,HATSouth
HD 100546 b,Imaging,2014,1,77.342,NA,Paranal Observatory
HD 100655 b,Radial Velocity,2011,1,NA,511.7063,Bohyunsan Optical Astronomical Observatory
HD 100777 b,Radial Velocity,2007,1,NA,327.3649,La Silla Observatory
HD 10180 c,Radial Velocity,2010,6,NA,13.22173,La Silla Observatory
HD 10180 d,Radial Velocity,2010,6,NA,12.01397,La Silla Observatory
HD 10180 e,Radial Velocity,2010,6,NA,25.58532,La Silla Observatory
HD 10180 f,Radial Velocity,2010,6,NA,22.94733,La Silla Observatory
HD 10180 g,Radial Velocity,2010,6,NA,23.26516,La Silla Observatory
HD 10180 h,Radial Velocity,2010,6,NA,65.66368,La Silla Observatory
HD 101930 b,Radial Velocity,2005,1,NA,79.4575,La Silla Observatory
HD 102117 b,Radial Velocity,2005,1,NA,54.0311,La Silla Observatory
